epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,224.891,0.85369,1.19929,1.19704,0.84522,0.66667,0.78583,0.65383,1.04669,1.36042,1.30097,0.000421019,0.000421019,0.000421019
59,228.398,0.80345,1.10769,1.16667,0.84522,0.66667,0.78583,0.65383,1.04669,1.36042,1.30097,0.000403335,0.000403335,0.000403335
60,231.865,0.81001,1.12665,1.20839,0.64541,0.88415,0.82793,0.68417,0.98431,1.34866,1.26539,0.000385651,0.000385651,0.000385651
61,235.082,0.76302,1.08534,1.144,0.66196,0.90472,0.84036,0.68531,0.9893,1.32782,1.31562,0.000367967,0.000367967,0.000367967
62,238.434,0.77311,1.12366,1.11906,0.68299,0.9099,0.775,0.62025,0.87183,1.44432,1.27021,0.000350284,0.000350284,0.000350284
63,242.001,0.78862,1.18161,1.19604,0.68299,0.9099,0.775,0.62025,0.87183,1.44432,1.27021,0.0003326,0.0003326,0.0003326
64,245.437,0.82451,1.20648,1.16797,0.68814,0.91652,0.783,0.62345,0.87759,1.41167,1.27298,0.000314916,0.000314916,0.000314916
65,249.09,0.75196,1.03252,1.1014,0.69222,0.91667,0.8025,0.63797,0.84585,1.3599,1.25516,0.000297232,0.000297232,0.000297232
66,252.539,0.7964,1.13217,1.18557,0.68904,0.91667,0.8025,0.63797,0.86255,1.36963,1.24937,0.000279548,0.000279548,0.000279548
67,255.672,0.77831,1.12413,1.18363,0.68904,0.91667,0.8025,0.63797,0.86255,1.36963,1.24937,0.000261864,0.000261864,0.000261864
68,259.17,0.7868,1.06685,1.15452,0.68638,0.91667,0.80917,0.64413,0.89762,1.39329,1.22364,0.00024418,0.00024418,0.00024418
69,262.685,0.7699,1.05338,1.13355,0.6826,0.91667,0.80917,0.57509,0.95564,1.36511,1.24768,0.000226497,0.000226497,0.000226497
70,266.471,0.73051,1.01707,1.1372,0.7433,0.9616,0.81774,0.55543,1.0089,1.3385,1.29084,0.000208813,0.000208813,0.000208813
71,270.438,0.76016,1.51159,1.2471,0.7433,0.9616,0.81774,0.55543,1.0089,1.3385,1.29084,0.000191129,0.000191129,0.000191129
72,275,0.72187,1.44395,1.21398,0.74329,0.96295,0.8056,0.54545,1.00552,1.32576,1.32575,0.000173445,0.000173445,0.000173445
73,278.803,0.7017,1.35491,1.19226,0.7435,0.95985,0.8881,0.60532,1.0197,1.30862,1.34898,0.000155761,0.000155761,0.000155761
74,282.837,0.67572,1.28551,1.1642,0.92042,0.93086,0.97143,0.66088,1.03628,1.26954,1.39949,0.000138077,0.000138077,0.000138077
75,286.491,0.66846,1.35312,1.20347,0.92042,0.93086,0.97143,0.66088,1.03628,1.26954,1.39949,0.000120393,0.000120393,0.000120393
76,290.69,0.68407,1.31417,1.15631,0.91166,0.94025,0.97143,0.67793,1.06638,1.23368,1.44356,0.000102709,0.000102709,0.000102709
77,294.457,0.66932,1.20092,1.16613,0.89441,0.91382,0.96083,0.68042,1.07844,1.20621,1.48772,8.50255e-05,8.50255e-05,8.50255e-05
78,298.613,0.62994,1.17566,1.1402,0.89666,0.91628,0.95417,0.68833,1.08819,1.19147,1.51611,6.73416e-05,6.73416e-05,6.73416e-05
79,302.098,0.61307,1.2122,1.18522,0.89666,0.91628,0.95417,0.68833,1.08819,1.19147,1.51611,4.96578e-05,4.96578e-05,4.96578e-05
80,306.395,0.66527,1.25187,1.19427,0.90096,0.91667,0.96083,0.69033,1.07386,1.21296,1.50073,3.19739e-05,3.19739e-05,3.19739e-05
